date,stock_code,broker_name,broker_id,buy_vol,sell_vol,net_vol,pct,rank,side,full_date,trade_date
3/04,2618,永豐金-匯立,0039004100380031,328,0,328,0.69,6,buy,2026-03-05,2026-03-04
3/04,2615,華南永昌-潮州,9328,354,107,247,0.2,11,buy,2026-03-05,2026-03-04
3/04,2618,元富-新店,0039004200320032,7,497,-490,1.03,7,sell,2026-03-05,2026-03-04
3/04,2603,兆豐-寶成,0037003000300072,32,217,-185,0.28,14,sell,2026-03-05,2026-03-04
3/04,2618,國泰-敦南,8888,968,494,474,1.0,3,buy,2026-03-05,2026-03-04
3/04,2615,兆豐-北高雄,0037003000300049,110,611,-501,0.41,12,sell,2026-03-05,2026-03-04
3/04,2615,元大-復北,9872,79,531,-452,0.37,14,sell,2026-03-05,2026-03-04
3/04,2618,凱基,9200,1330,1013,317,0.67,7,buy,2026-03-05,2026-03-04
3/04,2603,台中銀-台北,6115,171,51,120,0.18,14,buy,2026-03-05,2026-03-04
3/04,2345,新加坡商瑞銀,1650,543,326,217,4.25,2,buy,2026-03-05,2026-03-04
3/04,2618,台中銀-台北,6115,4,500,-496,1.04,6,sell,2026-03-05,2026-03-04
3/04,2618,凱基-桃園,9208,70,1421,-1351,2.84,4,sell,2026-03-05,2026-03-04
3/04,2618,華南永昌-桃園,9352,79,538,-459,0.97,8,sell,2026-03-05,2026-03-04
3/04,2379,富邦-建國,9658,7,34,-27,0.62,11,sell,2026-03-05,2026-03-04
3/04,3037,元富,0039004200300030,460,272,188,0.69,5,buy,2026-03-05,2026-03-04
3/04,2615,港商麥格理,1360,1,547,-546,0.45,9,sell,2026-03-05,2026-03-04
3/04,2603,台灣摩根士丹利,1470,3463,5682,-2219,3.4,1,sell,2026-03-05,2026-03-04
3/04,2618,富邦-建國,9658,238,1079,-841,1.77,5,sell,2026-03-05,2026-03-04
3/04,2615,群益金鼎-土城,003900310033004e,439,39,400,0.33,8,buy,2026-03-05,2026-03-04
3/04,2603,美林,1440,3776,2014,1762,2.7,1,buy,2026-03-05,2026-03-04
3/04,2379,台新-台南,8159,2,26,-24,0.55,13,sell,2026-03-05,2026-03-04
3/04,3006,永豐金-市政,0039004100390057,62,125,-63,0.32,13,sell,2026-03-05,2026-03-04
3/04,3037,中國信託,6160,224,139,85,0.31,15,buy,2026-03-05,2026-03-04
3/04,2412,凱基-嘉義,9252,133,0,133,0.55,14,buy,2026-03-05,2026-03-04
3/04,3037,統一-城中,5854,16,377,-361,1.32,8,sell,2026-03-05,2026-03-04
3/04,2345,統一,5850,40,69,-29,0.57,11,sell,2026-03-05,2026-03-04
3/04,2615,中國信託,6160,1487,1211,276,0.23,10,buy,2026-03-05,2026-03-04
3/04,2615,凱基-東港,9212,63,546,-483,0.4,13,sell,2026-03-05,2026-03-04
3/04,2618,元大-仁愛,003900380033006a,216,10,206,0.43,13,buy,2026-03-05,2026-03-04
3/04,2345,富邦-台北,9623,16,3,13,0.25,14,buy,2026-03-05,2026-03-04
3/04,2615,兆豐-中壢,0037003000300062,145,585,-440,0.36,15,sell,2026-03-05,2026-03-04
3/04,3034,花旗環球,1590,34,258,-224,5.77,2,sell,2026-03-05,2026-03-04
3/04,2618,台灣摩根士丹利,1470,1273,6960,-5687,11.97,1,sell,2026-03-05,2026-03-04
3/04,2603,玉山-桃園,0038003800340046,39,215,-176,0.27,15,sell,2026-03-05,2026-03-04
3/04,2618,法銀巴黎,8900,0,453,-453,0.95,9,sell,2026-03-05,2026-03-04
3/04,3006,富邦-台北,9623,12,167,-155,0.78,5,sell,2026-03-05,2026-03-04
3/04,3037,法銀巴黎,8900,0,725,-725,2.65,2,sell,2026-03-05,2026-03-04
3/04,3037,玉山-板橋,8846,31,143,-112,0.41,13,sell,2026-03-05,2026-03-04
3/04,3037,統一,5850,247,132,115,0.42,12,buy,2026-03-05,2026-03-04
3/04,3037,凱基-台北,9268,559,360,199,0.73,4,buy,2026-03-05,2026-03-04
3/04,3037,國泰證券,8880,46,658,-612,2.24,4,sell,2026-03-05,2026-03-04
3/04,3037,國泰-敦南,8888,433,328,105,0.38,13,buy,2026-03-05,2026-03-04
3/04,2615,兆豐-台中港,7005,291,66,225,0.19,12,buy,2026-03-05,2026-03-04
3/04,3037,元大-博愛,0039003800320042,95,10,85,0.31,14,buy,2026-03-05,2026-03-04
3/04,2615,兆豐-南門,0037003000300067,287,75,212,0.17,13,buy,2026-03-05,2026-03-04
3/04,2615,合庫證券,1020,355,78,277,0.23,9,buy,2026-03-05,2026-03-04
3/04,3037,港商麥格理,1360,52,410,-358,1.31,9,sell,2026-03-05,2026-03-04
3/04,2615,元富-大裕,003900420032006c,294,90,204,0.17,15,buy,2026-03-05,2026-03-04
3/04,3037,富邦證券,9600,109,489,-380,1.39,7,sell,2026-03-05,2026-03-04
3/04,3037,元大-土城永寧,9875,154,1,153,0.56,9,buy,2026-03-05,2026-03-04
3/04,2618,元大證券,9800,3783,4016,-233,0.49,14,sell,2026-03-05,2026-03-04
3/04,3037,元大-鳳山,003900380033005a,136,8,128,0.47,10,buy,2026-03-05,2026-03-04
3/04,3037,國票-敦北法人,0037003700390063,547,17,530,1.94,2,buy,2026-03-05,2026-03-04
3/04,2618,台新-台南,8159,78,496,-418,0.88,10,sell,2026-03-05,2026-03-04
3/04,2618,永豐金證券,0039004100300030,257,477,-220,0.46,15,sell,2026-03-05,2026-03-04
3/04,3037,美商高盛,1480,513,4513,-4000,14.65,1,sell,2026-03-05,2026-03-04
3/04,2618,摩根大通,8440,243,2410,-2167,4.56,3,sell,2026-03-05,2026-03-04
3/04,3037,花旗環球,1590,0,626,-626,2.29,3,sell,2026-03-05,2026-03-04
3/04,3037,永豐金-萬盛,0039004100390032,261,16,245,0.9,3,buy,2026-03-05,2026-03-04
3/04,2379,港商野村,1560,63,22,41,0.94,8,buy,2026-03-05,2026-03-04
3/04,2609,元大-板橋,0039003800390043,679,235,444,0.15,13,buy,2026-03-05,2026-03-04
3/04,2615,新光,8560,981,773,208,0.17,14,buy,2026-03-05,2026-03-04
3/04,2615,富邦-公益,0039003600310046,155,676,-521,0.43,10,sell,2026-03-05,2026-03-04
3/04,2615,群益金鼎,9100,496,1114,-618,0.51,8,sell,2026-03-05,2026-03-04
3/04,2618,富邦-台北,9623,248,14,234,0.49,10,buy,2026-03-05,2026-03-04
3/04,3037,台新證券,8150,320,161,159,0.58,8,buy,2026-03-05,2026-03-04
3/04,2618,元富-安南,003900420032005a,221,17,204,0.43,14,buy,2026-03-05,2026-03-04
3/04,2618,大昌-安康,6462,640,18,622,1.31,1,buy,2026-03-05,2026-03-04
3/04,2618,富邦-竹科,0039003600320043,207,5,202,0.43,15,buy,2026-03-05,2026-03-04
3/04,2618,華南永昌,9300,621,20,601,1.27,2,buy,2026-03-05,2026-03-04
3/04,3037,台灣摩根士丹利,1470,4601,1189,3412,12.49,1,buy,2026-03-05,2026-03-04
3/04,2618,新光,8560,445,209,236,0.5,9,buy,2026-03-05,2026-03-04
3/04,3037,富邦-仁愛,9676,97,195,-98,0.36,14,sell,2026-03-05,2026-03-04
3/04,3006,台灣摩根士丹利,1470,1503,595,908,4.56,1,buy,2026-03-05,2026-03-04
3/04,2615,美林,1440,1643,3799,-2156,1.77,2,sell,2026-03-05,2026-03-04
3/04,2603,第一金-高雄,5383,26,308,-282,0.43,10,sell,2026-03-05,2026-03-04
3/04,2609,凱基-站前,0039003200300046,272,1242,-970,0.34,12,sell,2026-03-05,2026-03-04
3/04,2603,元富-西松,003900420032006e,53,313,-260,0.4,11,sell,2026-03-05,2026-03-04
3/04,3037,永豐金-匯立,0039004100380031,13,492,-479,1.75,5,sell,2026-03-05,2026-03-04
3/04,2609,統一-城中,5854,582,1517,-935,0.32,14,sell,2026-03-05,2026-03-04
3/04,2609,美林,1440,1986,9721,-7735,2.69,2,sell,2026-03-05,2026-03-04
3/04,2615,群益金鼎-高盛,9105,525,69,456,0.38,5,buy,2026-03-05,2026-03-04
3/04,2609,永豐金證券,0039004100300030,3125,2364,761,0.26,6,buy,2026-03-05,2026-03-04
3/04,2603,元大-福營,0039003800310046,27,320,-293,0.45,9,sell,2026-03-05,2026-03-04
3/04,2609,新加坡商瑞銀,1650,7020,10775,-3755,1.3,7,sell,2026-03-05,2026-03-04
3/04,2603,永豐金-竹科,0039004100390058,113,493,-380,0.58,8,sell,2026-03-05,2026-03-04
3/04,2603,國泰-板橋,003800380038004b,450,318,132,0.2,13,buy,2026-03-05,2026-03-04
3/04,2615,元大-士林,003900380031006a,614,116,498,0.41,4,buy,2026-03-05,2026-03-04
3/04,2618,永豐金-市政,0039004100390057,248,32,216,0.45,11,buy,2026-03-05,2026-03-04
3/04,2615,富邦證券,9600,450,1126,-676,0.56,7,sell,2026-03-05,2026-03-04
3/04,2615,國泰-台中,8882,973,550,423,0.35,6,buy,2026-03-05,2026-03-04
3/04,2609,國泰-台中,8882,2368,1574,794,0.28,5,buy,2026-03-05,2026-03-04
3/04,2618,元大-南屯,9853,32,305,-273,0.57,12,sell,2026-03-05,2026-03-04
3/04,2609,富邦證券,9600,1773,8087,-6314,2.19,3,sell,2026-03-05,2026-03-04
3/04,2618,第一金-自由,0035003300380045,259,0,259,0.55,8,buy,2026-03-05,2026-03-04
3/04,2603,元富,0039004200300030,404,46,358,0.55,7,buy,2026-03-05,2026-03-04
3/04,2609,國泰-高雄,8881,1245,829,416,0.14,15,buy,2026-03-05,2026-03-04
3/04,3037,國票證券,7790,49,183,-134,0.49,12,sell,2026-03-05,2026-03-04
3/04,2603,群益金鼎,9100,522,264,258,0.4,10,buy,2026-03-05,2026-03-04
3/04,2603,香港上海匯豐,8960,823,12,811,1.24,6,buy,2026-03-05,2026-03-04
3/04,2603,富邦證券,9600,200,1041,-841,1.29,4,sell,2026-03-05,2026-03-04
3/04,2618,兆豐證券,7000,218,5,213,0.45,12,buy,2026-03-05,2026-03-04
3/04,3037,美林,1440,112,443,-331,1.21,10,sell,2026-03-05,2026-03-04
3/04,2603,法銀巴黎,8900,0,247,-247,0.38,12,sell,2026-03-05,2026-03-04
3/04,2609,凱基-台南,9211,1054,213,841,0.29,4,buy,2026-03-05,2026-03-04
3/04,3037,永豐金證券,0039004100300030,260,402,-142,0.52,11,sell,2026-03-05,2026-03-04
3/04,2618,美商高盛,1480,3552,3788,-236,0.5,13,sell,2026-03-05,2026-03-04
3/04,2603,新光-台中,8561,482,209,273,0.42,9,buy,2026-03-05,2026-03-04
3/04,3037,元大證券,9800,713,532,181,0.66,6,buy,2026-03-05,2026-03-04
3/04,2379,玉山證券,8840,53,0,53,1.21,6,buy,2026-03-05,2026-03-04
3/04,2618,凱基-台北,9268,1945,4252,-2307,4.86,2,sell,2026-03-05,2026-03-04
3/04,2603,摩根大通,8440,1882,2376,-494,0.76,7,sell,2026-03-05,2026-03-04
3/04,2609,美商高盛,1480,16899,12607,4292,1.49,1,buy,2026-03-05,2026-03-04
3/04,2615,凱基-屏東,0039003200320043,1094,677,417,0.34,7,buy,2026-03-05,2026-03-04
